
 -223,679,903


 871,911,720


 221,-180,467


 128,-159,-127


 -1499,4729,758


 227,-1871,-763


 386,-1809,200


 -359,730,-164


 447,-349,-624


 415,-1035,-371


 272,-396,32


 -314,1351,113


 259,-975,-201


 -14,429,416


 -640,1237,125


 295,-1218,370


 0,-706,-382


 -101,616,442


 -617,1348,833


 -24,93,128


 -78,375,295


 -77,197,241


 788,-1505,-510


 179,-442,72


 -1357,2863,1171


 432,-315,-221


 -113,81,323


 -57,51,162


 -136,-776,-319


 549,-1464,-174


 -446,1345,299


 652,441,300


 -35,620,392


 -375,720,-172


 -329,-475,-949


 1298,-1512,-596


 -487,287,142


 -1956,1615,1343


 834,-943,87


 -1639,2057,422


 691,-1547,-225


 -1250,1331,400


 394,-381,-212


 -179,154,40


 174,618,446


 248,-719,239


 -327,853,305


 80,474,312


 -158,-453,42


 -2529,1249,30


 321,-840,-425


 601,-1857,-174


 -950,2394,116


 126,-62,-296


 100,-688,539


 -490,1716,309


 356,-444,207


 -111,-152,-76


 -135,1050,-6


 237,-1145,214


 -1820,2002,237


 823,484,620


 -82,310,63


 -463,220,-950


 -124,-552,-759


 -1190,1647,997


 -374,513,686


 -153,267,590


 -101,-38,-544


 -753,289,136


 38,275,1537


 154,-222,-103


 -1170,2588,1047


 -20,-410,-123


 363,-1246,-11


 168,11,106


 -636,2147,30


 488,-771,-58


 294,-923,-194


 164,-611,-116


 -353,1409,353


 639,-857,179


 -15,-446,23


 -397,1402,27


 838,-802,202


 477,-727,206


 562,-273,430


 48,-513,-677


 -70,-852,114


 -226,1267,267


 587,-88,612


 -595,422,1289


 -315,22,-109


 -162,-253,-372


 291,-858,-419


 -169,745,116


 -562,1293,1361


 -861,166,483


 -1069,1176,-99


 903,-1252,-538


 1894,-2429,-91


 -1117,-1784,1276


 -872,5552,-71


 -167,-10,204


 -347,449,-309


 -1283,773,-1315


 526,-253,1398


 864,-462,543


 -644,809,-1005


 290,-208,743


 -83,-22,-142


 -1004,1309,-1185


 1166,-701,930


 454,-1911,652


 -196,1315,27


 -387,1176,-12


 146,954,-336


 0,497,-161


 -172,709,-11


 -497,1127,-5


 -221,489,173


 684,-690,1098


 208,-935,151


 245,-1342,140


 -51,246,-138


 -187,1454,-182


 -538,1680,-104


 -294,306,343


 412,-865,166


 124,-695,-87


 -226,914,-35


 219,793,411


 352,-1264,698


 758,-1590,296


 -336,759,-290


 -1154,-931,-1354


 -132,-2444,983


 991,551,596


 149,1019,-240


 1352,-685,323


 -2064,-1580,84


 -65,-53,-228


 532,-721,-482


 467,1211,96


 167,1494,89


 -334,677,559


 -505,45,-348


 330,-1542,200


 -269,518,-700


 -141,292,203


 -204,-25,296


 -288,7,222


 78,-1480,371


 1012,1469,-819


 -266,1097,464


 -545,188,165


 -39,-183,-197


 272,-1011,377


 463,-1740,642


 375,696,88


 1044,643,-794


 855,2024,-1224


 -923,1904,-505


 -844,1978,-841


 906,1669,-21


 552,1490,63


 109,433,90


 -367,578,-6


 -535,-154,-516


 -106,-569,-59


 137,-443,786


 336,-846,240


 569,82,110


 205,24,64


 -197,-457,-499


 285,-103,-506


 -112,-67,-87


 -222,771,890


 97,-237,434


 -152,151,494


 -75,-151,-60


 451,-686,-850


 -454,32,-138


 -244,604,797


 730,92,684


 -296,195,167


 -1023,1101,-427


 308,-841,-876


 108,2997,1126


 -1218,2326,-147


 172,-383,61


 366,-1165,445


 -259,483,-168


 -188,-153,732


 -325,1151,1235


 -114,-2000,212


 -85,-87,-140


 -725,122,-562


 118,143,965


 163,1156,-122


 154,-690,-218


 -336,467,-285


 -880,910,-582


 293,-340,1210


 302,536,407


 405,718,420


 -144,-440,252


 -462,-380,118


 -375,-309,-165


 692,877,333


 -27,-35,426


 -530,-144,-15


 295,-639,-247


 711,920,-10


 -369,307,355


 -666,-474,282


 -15,-488,88


 1015,1180,11


 -41,289,275


 -435,-458,-155


 341,-1252,290


 377,1290,-127


 275,813,-134


 -576,402,-489


 166,654,87


 -602,300,-564


 -155,-1875,-108


 -19,-89,334


 107,-1300,1080


 -212,3200,-21


 -34,799,712


 -631,-731,13


 -126,-468,-334


 469,1432,51


 -330,685,747


 -336,-775,213


 454,-1039,360


 498,496,-218


 -390,430,410


 -248,-336,682


 14,-924,671


 -1595,3331,-1270


 -195,693,-322


 -348,-268,1101


 -220,-215,-69


 574,325,-156


 174,962,1039


 5,-1561,-157


 -902,1069,-158


 -154,-258,-459


 483,-1316,731


 -154,-410,-32


 65,-341,-8


 236,497,669


 -931,4026,-648


 371,-359,-127


 -99,64,-869


 -377,460,251


 -442,139,1223


 200,169,-58


 131,45,211


 -111,-433,-27


 -164,414,-203


 3,191,-1418


 -127,10,-341


 -627,480,914


 300,264,598


 -47,7,345


 -45,-19,1027


 334,195,-11


 1001,-837,-422


 -696,1509,-123


 361,649,-63


 -244,181,-454


 117,-139,445


 5,680,1055


 -68,294,297


 230,-502,-18


 -134,66,-434


 -290,96,280


 192,650,43


 -105,-66,365


 318,-263,455


 702,828,203


 -475,84,-722


 159,-1381,1305


 486,108,-127


 379,-585,62


 486,1549,246


 938,1000,-43


 -472,-80,3


 -623,243,168


 423,-939,-926


 421,1545,-192


 72,165,94


 -97,-204,-91


 -31,-320,15


 22,-1273,548


 691,-2158,928


 -103,1796,-435


 -79,2413,-472


 1048,989,-10


 152,1234,211


 -234,970,191


 -207,964,359


 -316,710,434


 -259,-348,42


 -589,323,757


 -555,0,655


 -653,276,213


 -567,73,-61


 -418,-518,94


 514,-1948,367


 878,-2028,335


 435,-2270,71


 943,1603,-140


 -381,1513,396


 -367,396,752


 54,417,530


 -173,381,680


 -393,30,300


 -322,122,-166


 -843,-264,467


 -194,-482,538


 -732,-453,619


 -174,-987,211


 -93,-6,-484


 -434,-488,749


 777,-185,-422


 -162,199,-1508


 -906,672,2133


 -107,-906,413


 -166,842,-100


 511,-1258,630


 -284,-1258,-94


 191,408,-401


 669,89,1809


 1092,-69,834


 -1082,-836,-436


 -1901,4643,-1085


 -72,195,147


 -698,1651,94


 -264,-1508,-1526


 -109,-1335,-899


 43,898,1031


 -659,2215,690


 2567,4542,4802


 -1995,-3745,-2898


 -116,971,85


 37,-1343,-873


 -202,-605,-696


 648,2202,2683


 -875,-1929,-1449


 -767,-954,-212


 -373,104,-105


 1217,2249,-29


 1292,2651,2501


 -1136,-2330,-1558


 -1235,-481,-830


 -570,-114,-395


 475,2327,1297


 912,1529,2030


 -1558,-2067,-1996


 -992,256,-786


 -499,-379,-701


 1023,71,-289


 -412,1074,900


 40,-399,381


 106,-1710,-258


 -332,-467,-121


 213,-546,-1157


 -130,714,155


 -853,330,373


 606,399,-7


 -448,-253,257


 -109,-61,-347


 797,-861,-423


 -334,520,1365


 126,-486,-401


 1257,-118,-168


 -668,1236,1085


 -55,-97,-366


 900,-1698,-257


 -1155,-668,-611


 394,982,-301


 1373,-342,-513


 -941,298,890


 282,215,-390


 1359,302,1892


 1122,2355,3430


 -428,-2421,-3849


 -361,633,-204


 -246,737,340


 515,1093,1859


 -820,440,1343


 -458,-1339,-1583


 577,643,-809


 -1026,589,736


 711,-2000,-1823


 422,-358,214


 2040,-2368,-8


 -933,1745,306


 816,-432,-864


 -874,2229,1411


 920,946,1756


 -144,-710,279


 27,-1884,-963


 -9,463,-671


 -464,-768,545


 -741,-629,1460


 -463,1353,800
